Protein IDs,Filtered Protein IDs
P68035,P68035
P62738,P62738
P60711,P60711
P63259,P63259
P04764,P04764
P02650,P02650
B0BNA5,B0BNA5
Q5BK06,Q5BK06
P47967,P47967
P01836,P01836
O35276,O35276
F1M6X9,F1M6X9
Q5FVJ3,Q5FVJ3
D4A9H6,D4A9H6
Q5XI73,Q5XI73
Q5RKI9,Q5RKI9
P29457,P29457
P52631,P52631
P07632,P07632
Q63610,Q63610
G3V8C3,G3V8C3
P63039,P63039
Q7TP84,Q7TP84
P14046,P14046
Q63041,Q63041
F1LM19,F1LM19
P00762,P00762
P07150,P07150
Q07936,Q07936
P04639,P04639
P04638,P04638
P06759,P06759
Q6MG74,Q6MG74
B5DF65,B5DF65
Q68FR2,Q68FR2
P69478,P69478
P04762,P04762
Q5XJW6,Q5XJW6
P02454,P02454
F1LS40,F1LS40
M0RBJ7,M0RBJ7
Q62930,Q62930
F1M6C2,F1M6C2
B2GUZ5,B2GUZ5
P55053,P55053
P02680,P02680
P04937,P04937
C0JPT7,C0JPT7
Q2AC31,Q2AC31
D3ZGY4,D3ZGY4
P06866,P06866
P61980,P61980
Q99PS8,Q99PS8
D4AEC0,D4AEC0
Q00715,Q00715
P20760,P20760
P20761,P20761
B2RYM3,B2RYM3
D3ZBS2,D3ZBS2
Q5PQU1,Q5PQU1
Q6LE95,Q6LE95
Q8K4K5,Q8K4K5
P51886,P51886
Q6AYC4,Q6AYC4
D3ZBM2,D3ZBM2
Q64119,Q64119
P13084,P13084
P10111,P10111
Q63716,Q63716
P35704,P35704
P16617,P16617
P25113,P25113
M0R682,M0R682
Q62669,Q62669
F1LNM4,F1LNM4
P05942,P05942
P50116,P50116
D3ZWC6,D3ZWC6
G3V852,G3V852
B4F7C2,B4F7C2
Q3KR94,Q3KR94
F1M8E9,F1M8E9
Q6LDW6,Q6LDW6
Q5PPI5,Q5PPI5
Q5RJR9,Q5RJR9
P05545,P05545
Q5M878,Q5M878
Q6AXY9,Q6AXY9
Q71SA3,Q71SA3
D3ZLQ8,D3ZLQ8
M0R628,M0R628
M0R5J4,M0R5J4
P04276,P04276
Q63011,Q63011
Q38PF8,Q38PF8
F1LN88,F1LN88
P02651,P02651
Q91ZE7,Q91ZE7
P01257,P01257
G3V9E3,G3V9E3
D3ZL24,D3ZL24
Q7M0A0,Q7M0A0
G3V843,G3V843
P07335,P07335
Q4G044,Q4G044
P14480,P14480
G3V7N2,G3V7N2
Q68FP1,Q68FP1
Q6PDW8,Q6PDW8
Q9WTT6,Q9WTT6
G3V6P8,G3V6P8
G3V913,G3V913
P63018,P63018
Q64599,Q64599
D3ZVK7,D3ZVK7
D3ZJ08,D3ZJ08
G3V8L3,G3V8L3
D4AC69,D4AC69
Q6QI80,Q6QI80
P08494,P08494
Q5M7W5,Q5M7W5
D3ZVB7,D3ZVB7
P08721,P08721
D3ZAF5,D3ZAF5
O08591,O08591
Q9JMB5,Q9JMB5
Q5XIM5,Q5XIM5
D3ZCJ7,D3ZCJ7
D4A201,D4A201
Q5M7T5,Q5M7T5
B2RYJ5,B2RYJ5
Q5U4F0,Q5U4F0
Q9QZK5,Q9QZK5
P09006,P09006
Q63555,Q63555
Q6LDS4,Q6LDS4
P02767,P02767
F1M3Q4,F1M3Q4
F1LST1,F1LST1
P31000,P31000
P62630,P62630
P42930,P42930
P84245,P84245
Q63312,Q63312
P48679,P48679
Q6AYZ1,Q6AYZ1
